date,category,product,revenue,units
2024-01-05,Electronics,Wireless Mouse,120.50,8
2024-01-12,Electronics,USB Hub,89.99,5
2024-02-03,Office,Desk Chair,450.00,2
2024-02-18,Electronics,Monitor,680.00,3
2024-03-01,Office,Notebook Pack,45.00,20
2024-03-15,Electronics,Keyboard,210.00,7
2024-04-02,Furniture,Bookshelf,199.99,4
2024-04-20,Electronics,Webcam,155.00,6
2024-05-08,Office,Stapler,22.50,15
2024-05-22,Electronics,Headphones,320.00,5
2024-06-10,Furniture,Standing Desk,899.00,1
2024-06-28,Electronics,Tablet,499.00,2
2024-07-05,Office,Pen Set,35.00,25
2024-07-19,Electronics,SSD Drive,180.00,9
2024-08-01,Furniture,Office Lamp,75.00,8
2024-08-14,Electronics,Router,129.00,4
2024-09-02,Office,Whiteboard,110.00,3
2024-09-20,Electronics,Laptop,1299.00,1
2024-10-01,Furniture,Filing Cabinet,220.00,2
2024-10-15,Electronics,Speaker,95.00,6
2024-11-05,Office,Desk Mat,48.00,12
2024-11-22,Electronics,Phone Case,28.00,18
2024-12-01,Furniture,Ergonomic Chair,550.00,2
2024-12-15,Electronics,Smart Watch,399.00,3
